State,Label (Grouping),SEX AND AGE!!Total population,SEX AND AGE!!Total population!!Male,SEX AND AGE!!Total population!!Female,SEX AND AGE!!Total population!!18 years and over,SEX AND AGE!!Total population!!18 years and over!!Male,SEX AND AGE!!Total population!!18 years and over!!Female,EDUCATIONAL ATTAINMENT!!Population 25 years and over,EDUCATIONAL ATTAINMENT!!Population 25 years and over!!High school graduate or higher,"EDUCATIONAL ATTAINMENT!!Population 25 years and over!!High school graduate or higher!!Male, high school graduate or higher","EDUCATIONAL ATTAINMENT!!Population 25 years and over!!High school graduate or higher!!Female, high school graduate or higher",VETERAN STATUS!!Civilian population 18 years and over,VETERAN STATUS!!Civilian population 18 years and over!!Civilian veteran,EMPLOYMENT STATUS!!Population 16 years and over,EMPLOYMENT STATUS!!Population 16 years and over!!In labor force,EMPLOYMENT STATUS!!Population 16 years and over!!In labor force!!Civilian labor force,EMPLOYMENT STATUS!!Population 16 years and over!!In labor force!!Civilian labor force!!Employed,EMPLOYMENT STATUS!!Population 16 years and over!!In labor force!!Civilian labor force!!Unemployed,EMPLOYMENT STATUS!!Population 16 years and over!!In labor force!!Civilian labor force!!Unemployed!!Unemployment Rate,EMPLOYMENT STATUS!!Population 16 years and over!!In labor force!!Armed Forces,EMPLOYMENT STATUS!!Population 16 years and over!!Not in labor force,COMMUTING TO WORK!!Workers 16 years and over,"COMMUTING TO WORK!!Workers 16 years and over!!Car, truck, or van - drove alone","COMMUTING TO WORK!!Workers 16 years and over!!Car, truck, or van - carpooled",COMMUTING TO WORK!!Workers 16 years and over!!Public transportation (excluding taxicab),COMMUTING TO WORK!!Workers 16 years and over!!Walked,COMMUTING TO WORK!!Workers 16 years and over!!Other means,COMMUTING TO WORK!!Workers 16 years and over!!Worked from home,COMMUTING TO WORK!!Workers 16 years and over!!Mean travel time to work (minutes),INCOME IN THE PAST 12 MONTHS (IN 2022 INFLATION-ADJUSTED DOLLARS)!!Households,INCOME IN THE PAST 12 MONTHS (IN 2022 INFLATION-ADJUSTED DOLLARS)!!Households!!Median household income (dollars),INCOME IN THE PAST 12 MONTHS (IN 2022 INFLATION-ADJUSTED DOLLARS)!!Households!!With earnings,INCOME IN THE PAST 12 MONTHS (IN 2022 INFLATION-ADJUSTED DOLLARS)!!Households!!With earnings!!Mean earnings (dollars),INCOME IN THE PAST 12 MONTHS (IN 2022 INFLATION-ADJUSTED DOLLARS)!!Households!!With Social Security income,INCOME IN THE PAST 12 MONTHS (IN 2022 INFLATION-ADJUSTED DOLLARS)!!Households!!With Social Security income!!Mean Social Security income (dollars),INCOME IN THE PAST 12 MONTHS (IN 2022 INFLATION-ADJUSTED DOLLARS)!!Households!!With Supplemental Security Income,INCOME IN THE PAST 12 MONTHS (IN 2022 INFLATION-ADJUSTED DOLLARS)!!Households!!With Supplemental Security Income!!Mean Supplemental Security Income (dollars),INCOME IN THE PAST 12 MONTHS (IN 2022 INFLATION-ADJUSTED DOLLARS)!!Households!!With cash public assistance income,INCOME IN THE PAST 12 MONTHS (IN 2022 INFLATION-ADJUSTED DOLLARS)!!Households!!With cash public assistance income!!Mean cash public assistance income (dollars),INCOME IN THE PAST 12 MONTHS (IN 2022 INFLATION-ADJUSTED DOLLARS)!!Households!!With retirement income,INCOME IN THE PAST 12 MONTHS (IN 2022 INFLATION-ADJUSTED DOLLARS)!!Households!!With retirement income!!Mean retirement income (dollars),INCOME IN THE PAST 12 MONTHS (IN 2022 INFLATION-ADJUSTED DOLLARS)!!Households!!With Food Stamp/SNAP benefits,INCOME IN THE PAST 12 MONTHS (IN 2022 INFLATION-ADJUSTED DOLLARS)!!Individuals,INCOME IN THE PAST 12 MONTHS (IN 2022 INFLATION-ADJUSTED DOLLARS)!!Individuals!!Per capita income (dollars),"INCOME IN THE PAST 12 MONTHS (IN 2022 INFLATION-ADJUSTED DOLLARS)!!Individuals!!With earnings for full-time, year-round workers:!!Male","INCOME IN THE PAST 12 MONTHS (IN 2022 INFLATION-ADJUSTED DOLLARS)!!Individuals!!With earnings for full-time, year-round workers:!!Female","INCOME IN THE PAST 12 MONTHS (IN 2022 INFLATION-ADJUSTED DOLLARS)!!Individuals!!Median earnings (dollars) full-time, year-round workers:!!Male","INCOME IN THE PAST 12 MONTHS (IN 2022 INFLATION-ADJUSTED DOLLARS)!!Individuals!!Median earnings (dollars) full-time, year-round workers:!!Female",HEALTH INSURANCE COVERAGE!!Civilian noninstitutionalized population,HEALTH INSURANCE COVERAGE!!Civilian noninstitutionalized population!!With private health insurance,HEALTH INSURANCE COVERAGE!!Civilian noninstitutionalized population!!With public coverage,HEALTH INSURANCE COVERAGE!!Civilian noninstitutionalized population!!No health insurance coverage,POVERTY RATES FOR FAMILIES AND PEOPLE FOR WHOM POVERTY STATUS IS DETERMINED!!All people!!18 years and over,VEHICLES AVAILABLE!!Occupied housing units,VEHICLES AVAILABLE!!Occupied housing units!!None,VEHICLES AVAILABLE!!Occupied housing units!!1 or more,SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS!!Housing units with a mortgage (excluding units where SMOC cannot be computed),SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS!!Housing units with a mortgage (excluding units where SMOC cannot be computed)!!Less than 30 percent,SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS!!Housing units with a mortgage (excluding units where SMOC cannot be computed)!!30 percent or more
New Hampshire,Margin of Error,*****,±0.2,±0.2,±0.1,±0.1,±0.1,"±1,913",±0.4,±0.6,±0.5,"±1,705",±0.4,"±2,244",±0.7,±0.6,±0.7,±0.2,±0.3,±0.1,±0.7,"±8,363",±1.1,±0.8,±0.1,±0.3,±0.2,±0.8,±0.5,"±4,834","±2,310",±0.7,"±2,891",±0.8,±511,±0.4,±922,±0.4,±653,±0.8,"±1,775",±0.5,*****,±954,"±5,846","±5,815","±2,075","±1,520",±734,±0.8,±0.8,±0.4,±0.4,"±4,834",±0.5,±0.5,"±5,279",±1.7,±1.7
New Jersey,Margin of Error,*****,±0.1,±0.1,±0.1,±0.1,±0.1,"±3,783",±0.2,±0.3,±0.3,"±3,486",±0.1,"±5,793",±0.3,±0.3,±0.3,±0.1,±0.2,±0.1,±0.3,"±20,893",±0.5,±0.3,±0.3,±0.2,±0.1,±0.4,±0.2,"±9,044","±1,114",±0.3,"±1,486",±0.3,±231,±0.2,±356,±0.2,±398,±0.3,±999,±0.3,*****,±483,"±15,675","±16,043",±738,±663,"±3,337",±0.4,±0.4,±0.2,±0.3,"±9,044",±0.3,±0.3,"±18,325",±0.7,±0.7
New Mexico,Margin of Error,*****,±0.3,±0.3,±0.1,±0.1,±0.1,"±5,689",±0.6,±0.8,±0.7,"±3,862",±0.3,"±3,294",±0.5,±0.6,±0.6,±0.3,±0.4,±0.2,±0.5,"±10,081",±1.1,±0.9,±0.2,±0.3,±0.3,±0.6,±0.5,"±4,975","±1,306",±0.7,"±1,744",±0.6,±406,±0.4,±538,±0.4,±371,±0.7,"±1,356",±0.7,*****,±627,"±7,887","±7,541","±1,694","±1,638","±2,524",±1.0,±0.9,±0.5,±0.7,"±4,975",±0.5,±0.5,"±7,793",±1.8,±1.8
New York,Margin of Error,*****,±0.1,±0.1,±0.1,±0.1,±0.1,"±4,990",±0.2,±0.2,±0.2,"±3,522",±0.1,"±7,485",±0.2,±0.2,±0.2,±0.1,±0.1,±0.1,±0.2,"±34,768",±0.3,±0.2,±0.2,±0.1,±0.1,±0.2,±0.2,"±19,481",±722,±0.2,"±1,064",±0.2,±146,±0.2,±151,±0.2,±211,±0.2,±644,±0.2,*****,±340,"±23,858","±24,932",±784,±465,"±2,907",±0.3,±0.3,±0.1,±0.3,"±19,481",±0.3,±0.3,"±21,110",±0.6,±0.6
North Carolina,Margin of Error,*****,±0.1,±0.1,±0.1,±0.1,±0.1,"±8,768",±0.2,±0.3,±0.3,"±6,146",±0.2,"±6,831",±0.3,±0.3,±0.3,±0.1,±0.2,±0.1,±0.3,"±25,512",±0.5,±0.3,±0.1,±0.1,±0.1,±0.4,±0.2,"±15,150",±623,±0.3,"±1,058",±0.3,±149,±0.2,±267,±0.1,±233,±0.3,±649,±0.3,*****,±391,"±15,510","±17,285",±722,±514,"±5,339",±0.4,±0.3,±0.2,±0.3,"±15,150",±0.2,±0.2,"±18,188",±0.6,±0.6
North Dakota,Margin of Error,*****,±0.3,±0.3,±0.1,±0.3,±0.3,"±2,634",±0.6,±0.7,±0.8,"±1,645",±0.5,"±1,839",±0.9,±0.9,±0.9,±0.3,±0.4,±0.2,±0.9,"±5,718",±1.0,±0.7,±0.2,±0.5,±0.3,±0.7,±0.5,"±3,670","±2,072",±1.1,"±2,740",±1.0,±594,±0.4,±795,±0.4,"±1,112",±1.0,"±2,206",±0.6,*****,"±1,280","±4,098","±4,454","±1,339","±1,373","±1,221",±1.1,±1.2,±0.7,±0.9,"±3,670",±0.6,±0.6,"±4,329",±1.8,±1.8
Ohio,Margin of Error,*****,±0.1,±0.1,±0.1,±0.1,±0.1,"±5,579",±0.2,±0.3,±0.3,"±3,475",±0.1,"±6,326",±0.3,±0.3,±0.3,±0.1,±0.2,±0.1,±0.3,"±26,134",±0.4,±0.2,±0.1,±0.1,±0.1,±0.2,±0.2,"±13,413",±618,±0.3,±703,±0.2,±178,±0.2,±197,±0.1,±219,±0.3,±606,±0.3,*****,±269,"±16,401","±17,626",±422,±530,"±2,414",±0.4,±0.3,±0.2,±0.3,"±13,413",±0.2,±0.2,"±17,211",±0.5,±0.5
Oklahoma,Margin of Error,*****,±0.1,±0.1,±0.1,±0.1,±0.1,"±3,981",±0.3,±0.4,±0.4,"±2,227",±0.2,"±2,953",±0.3,±0.3,±0.3,±0.1,±0.2,±0.1,±0.3,"±11,273",±0.4,±0.4,±0.1,±0.2,±0.1,±0.3,±0.3,"±5,742",±689,±0.4,"±1,038",±0.4,±257,±0.3,±359,±0.2,±230,±0.4,±993,±0.4,*****,±371,"±7,390","±8,366",±707,±372,"±1,919",±0.5,±0.5,±0.3,±0.3,"±5,742",±0.2,±0.2,"±7,713",±0.9,±0.9
Oregon,Margin of Error,*****,±0.1,±0.1,±0.1,±0.1,±0.1,"±3,419",±0.3,±0.4,±0.4,"±2,046",±0.2,"±4,440",±0.4,±0.4,±0.4,±0.2,±0.3,±0.1,±0.4,"±15,888",±0.8,±0.4,±0.2,±0.3,±0.2,±0.5,±0.4,"±6,662","±1,181",±0.5,"±1,609",±0.5,±292,±0.3,±356,±0.3,±380,±0.4,"±1,142",±0.5,*****,±544,"±10,960","±10,472",±891,±759,±827,±0.6,±0.5,±0.3,±0.3,"±6,662",±0.3,±0.3,"±10,978",±1.0,±1.0
Pennsylvania,Margin of Error,*****,±0.1,±0.1,±0.1,±0.1,±0.1,"±5,452",±0.2,±0.2,±0.2,"±2,366",±0.1,"±5,825",±0.2,±0.2,±0.2,±0.1,±0.1,±0.1,±0.2,"±23,342",±0.4,±0.2,±0.2,±0.1,±0.1,±0.2,±0.2,"±14,260",±557,±0.3,±903,±0.2,±139,±0.2,±251,±0.1,±251,±0.3,±567,±0.2,*****,±312,"±20,020","±14,736",±466,±397,"±2,007",±0.3,±0.3,±0.2,±0.2,"±14,260",±0.3,±0.3,"±21,846",±0.5,±0.5
Rhode Island,Margin of Error,*****,±0.2,±0.2,±0.1,±0.1,±0.1,"±1,669",±0.7,±1.1,±0.8,"±1,618",±0.4,"±1,974",±0.8,±0.8,±0.8,±0.4,±0.6,±0.1,±0.8,"±7,907",±1.2,±0.9,±0.3,±0.4,±0.5,±0.9,±0.5,"±3,663","±2,182",±0.9,"±3,146",±1.0,±543,±0.7,±721,±0.7,±642,±1.0,"±2,334",±1.1,*****,"±1,316","±5,129","±5,973","±2,910","±2,818","±1,224",±1.3,±1.2,±0.6,±0.9,"±3,663",±0.9,±0.9,"±5,543",±2.0,±2.0
South Carolina,Margin of Error,*****,±0.1,±0.1,±0.1,±0.1,±0.1,"±6,239",±0.3,±0.5,±0.4,"±3,598",±0.2,"±4,868",±0.4,±0.4,±0.4,±0.1,±0.2,±0.1,±0.4,"±16,515",±0.5,±0.4,±0.1,±0.2,±0.2,±0.5,±0.3,"±11,784",±699,±0.5,"±1,454",±0.4,±240,±0.3,±340,±0.2,±570,±0.5,±840,±0.4,*****,±444,"±12,613","±12,425",±973,±722,"±3,163",±0.5,±0.4,±0.3,±0.3,"±11,784",±0.3,±0.3,"±12,795",±0.8,±0.8
South Dakota,Margin of Error,*****,±0.3,±0.3,±0.2,±0.3,±0.3,"±2,144",±0.5,±0.8,±0.6,"±2,050",±0.5,"±2,218",±0.6,±0.6,±0.6,±0.3,±0.4,±0.2,±0.6,"±4,508",±1.1,±0.7,±0.2,±0.3,±0.3,±0.8,±0.5,"±3,163","±2,128",±0.9,"±2,807",±0.8,±593,±0.4,±838,±0.3,±741,±1.0,"±2,047",±0.7,*****,±998,"±3,688","±3,877","±1,722",±977,"±1,357",±0.9,±0.8,±0.5,±0.6,"±3,163",±0.5,±0.5,"±4,950",±1.7,±1.7
Tennessee,Margin of Error,*****,±0.1,±0.1,±0.1,±0.1,±0.1,"±6,286",±0.3,±0.4,±0.3,"±4,549",±0.2,"±6,142",±0.3,±0.3,±0.4,±0.1,±0.2,±0.1,±0.3,"±20,422",±0.5,±0.3,±0.1,±0.1,±0.2,±0.4,±0.2,"±11,934",±848,±0.4,±995,±0.3,±218,±0.2,±314,±0.1,±372,±0.4,±922,±0.4,*****,±350,"±14,503","±14,008",±781,±559,"±2,805",±0.5,±0.4,±0.3,±0.4,"±11,934",±0.3,±0.3,"±14,344",±0.8,±0.8
Texas,Margin of Error,*****,±0.1,±0.1,±0.1,±0.1,±0.1,"±12,252",±0.2,±0.2,±0.2,"±7,959",±0.1,"±12,066",±0.2,±0.2,±0.2,±0.1,±0.1,±0.1,±0.2,"±47,231",±0.3,±0.2,±0.1,±0.1,±0.1,±0.2,±0.2,"±20,293",±443,±0.2,±685,±0.2,±120,±0.1,±157,±0.1,±207,±0.2,±417,±0.2,*****,±223,"±29,836","±35,161",±449,±487,"±6,799",±0.3,±0.2,±0.2,±0.2,"±20,293",±0.2,±0.2,"±29,959",±0.5,±0.5
Utah,Margin of Error,*****,±0.1,±0.1,±0.1,±0.1,±0.1,"±3,376",±0.4,±0.5,±0.4,"±2,052",±0.2,"±3,184",±0.4,±0.4,±0.4,±0.2,±0.2,±0.1,±0.4,"±11,091",±0.7,±0.5,±0.2,±0.2,±0.2,±0.5,±0.3,"±5,750","±1,807",±0.4,"±1,640",±0.4,±413,±0.3,±710,±0.2,±789,±0.5,"±1,374",±0.4,*****,±542,"±8,417","±7,908","±1,077","±1,088","±1,589",±0.6,±0.5,±0.5,±0.4,"±5,750",±0.3,±0.3,"±8,252",±1.0,±1.0
Vermont,Margin of Error,*****,±0.2,±0.2,±0.2,±0.2,±0.2,"±1,646",±0.4,±0.6,±0.6,"±1,386",±0.4,"±1,532",±0.8,±0.8,±0.9,±0.3,±0.5,±0.2,±0.8,"±5,095",±1.3,±0.9,±0.3,±0.6,±0.4,±0.9,±0.6,"±3,178","±2,209",±1.1,"±2,396",±1.0,±503,±0.7,±744,±0.6,±476,±1.0,"±1,832",±0.9,*****,±931,"±3,695","±3,142","±1,327","±1,770",±888,±1.2,±1.1,±0.5,±0.8,"±3,178",±0.8,±0.8,"±4,124",±2.1,±2.1
Virginia,Margin of Error,*****,±0.1,±0.1,±0.1,±0.1,±0.1,"±8,046",±0.2,±0.3,±0.3,"±6,387",±0.2,"±5,566",±0.3,±0.3,±0.3,±0.1,±0.2,±0.1,±0.3,"±21,009",±0.4,±0.3,±0.1,±0.1,±0.1,±0.3,±0.2,"±12,353",±763,±0.3,"±1,172",±0.3,±187,±0.2,±305,±0.1,±302,±0.4,±681,±0.3,*****,±463,"±13,432","±14,898",±891,±754,"±6,107",±0.4,±0.3,±0.2,±0.3,"±12,353",±0.2,±0.2,"±15,760",±0.6,±0.6
Washington,Margin of Error,*****,±0.1,±0.1,±0.1,±0.1,±0.1,"±3,793",±0.2,±0.3,±0.3,"±4,763",±0.2,"±4,261",±0.3,±0.3,±0.3,±0.1,±0.2,±0.1,±0.3,"±20,583",±0.5,±0.3,±0.2,±0.2,±0.1,±0.4,±0.2,"±10,236",±841,±0.3,"±1,407",±0.3,±209,±0.2,±325,±0.2,±272,±0.3,±804,±0.3,*****,±428,"±14,898","±12,624",±879,±683,"±4,298",±0.4,±0.4,±0.2,±0.3,"±10,236",±0.2,±0.2,"±14,728",±0.7,±0.7
West Virginia,Margin of Error,*****,±0.2,±0.2,±0.1,±0.1,±0.1,"±3,566",±0.5,±0.7,±0.6,"±2,156",±0.3,"±3,123",±0.6,±0.6,±0.7,±0.2,±0.5,±0.1,±0.6,"±10,041",±0.9,±0.6,±0.2,±0.3,±0.2,±0.6,±0.6,"±6,960","±1,336",±0.8,"±2,172",±0.7,±313,±0.5,±451,±0.4,±639,±0.8,"±1,821",±0.7,*****,±737,"±5,651","±6,189","±1,440",±848,±869,±1.0,±0.9,±0.4,±0.7,"±6,960",±0.6,±0.6,"±7,604",±1.3,±1.3
Wisconsin,Margin of Error,*****,±0.1,±0.1,±0.1,±0.1,±0.1,"±3,825",±0.2,±0.2,±0.3,"±2,330",±0.1,"±3,684",±0.3,±0.3,±0.3,±0.1,±0.2,±0.1,±0.3,"±15,181",±0.4,±0.3,±0.1,±0.2,±0.1,±0.3,±0.2,"±7,766",±644,±0.3,±962,±0.3,±172,±0.2,±321,±0.1,±248,±0.4,±655,±0.3,*****,±370,"±10,666","±9,819",±451,±521,"±1,112",±0.4,±0.4,±0.2,±0.3,"±7,766",±0.3,±0.3,"±11,026",±0.5,±0.5
Wyoming,Margin of Error,*****,±0.4,±0.4,±0.2,±0.3,±0.3,"±2,780",±0.8,±1.1,±0.8,"±1,669",±0.8,"±1,595",±1.0,±1.1,±1.2,±0.4,±0.6,±0.2,±1.0,"±5,795",±1.3,±1.0,±0.4,±0.5,±0.5,±1.1,±0.9,"±3,844","±2,867",±1.2,"±3,877",±1.0,±805,±0.6,"±1,212",±0.4,"±1,383",±1.3,"±1,879",±0.9,*****,"±1,516","±4,026","±3,388","±1,608","±3,084","±1,045",±1.6,±1.0,±1.2,±1.2,"±3,844",±0.8,±0.8,"±3,574",±2.4,±2.4
